"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.","YrSold_2013",57668.8792636081
"SalePrice","N_FacilitiesNearBy.Total._cut","Size.sqf.","YrSold",57669.3171814922
"SalePrice","N_SchoolNearBy.University._0vs12vs345","Size.sqf.","YrSold",57674.1528309893
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.",57685.4966436208
"SalePrice","N_SchoolNearBy.Elementary.","Size.sqf.","YrSold",57694.265109092
"SalePrice","N_FacilitiesNearBy.Park._01vs2","Size.sqf.","YearBuilt_2000_2010",57866.8872445229
"SalePrice","N_FacilitiesNearBy.Dpartmentstore._01vs2","Size.sqf.","YrSold",57866.8873048521
"SalePrice","N_FacilitiesNearBy.PublicOffice.","Size.sqf.","YrSold_2011_2014",57878.6551843037
"SalePrice","N_FacilitiesNearBy.Total._cut","N_Parkinglot.Basement.","Size.sqf.",57923.2535115396
"SalePrice","MonthSold","Size.sqf.","YearBuilt_2000_2010",57948.2358396853
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.","YrSold_2013",57971.6244964434
"SalePrice","Size.sqf.","SubwayStation_byProxy2","YrSold",57976.4706127095
"SalePrice","N_elevators","Size.sqf.","YearBuilt_2000_2010",57986.5711158043
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Elementary._cat","Size.sqf.",58003.1139261517
"SalePrice","Size.sqf.","SubwayStation_byProxy1","YrSold",58022.0868151224
"SalePrice","N_SchoolNearBy.University.","Size.sqf.","YrSold",58022.5836492674
"SalePrice","N_manager","Size.sqf.","YearBuilt_2000_2010",58043.8994737384
"SalePrice","N_Parkinglot.Ground.","Size.sqf.","YrSold_2011_2014",58102.5292989372
"SalePrice","N_FacilitiesNearby.corr_neg","Size.sqf.","YrSold_2011_2014",58129.5889510685
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.",58180.2018987256
"SalePrice","N_FacilitiesNearBy.Dpartmentstore._01vs2","Size.sqf.","YearBuilt_2000_2010",58182.2837826732
"SalePrice","Size.sqf.","TimeToSubway","YearBuilt",58227.1474486021
"SalePrice","Size.sqf.","TimeToSubway","YearBuilt_2005",58281.9498012658
"SalePrice","N_FacilitiesInApt","Size.sqf.","TimeToSubway_Novs05vsOther",58299.8338990464
"SalePrice","Size.sqf.","TimeToSubway_Novs05vsOther","YearBuilt_2000_2010",58318.4415221445
"SalePrice","N_FacilitiesNearBy.Park._01vs2","Size.sqf.","YrSold",58338.500868073
"SalePrice","HallwayType","Size.sqf.","YearBuilt_2000_2010",58344.4909775962
"SalePrice","Size.sqf.","TimeToSubway","YearBuilt_2000_2010",58352.7501696086
"SalePrice","Size.sqf.","TimeToSubway_05vsOther","YearBuilt_2000_2010",58359.3067021866
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","TimeToSubway_Novs05vsOther",58407.0555703676
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","SubwayStation_byProxy2",58410.2641238684
"SalePrice","N_SchoolNearBy.Middle._chr","Size.sqf.","YearBuilt",58419.9562074687
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.","YearBuilt_2000_2010",58432.4049232613
"SalePrice","N_FacilitiesInApt","Size.sqf.","SubwayStation_byProxy2",58435.1425329741
"SalePrice","N_FacilitiesInApt","N_FacilitiesNearBy.Total._cut","Size.sqf.",58436.0157759007
"SalePrice","N_SchoolNearBy.University._0vs12vs345","Size.sqf.","YearBuilt_2000_2010",58436.6922722674
"SalePrice","N_SchoolNearBy.Total.","Size.sqf.","YrSold",58438.1805271528
